id,icao_code,iata_code,name,type,city_id,country_id,continent_id,latitude_deg,longitude_deg,elevation_ft
4585,LEMD,MAD,Adolfo Suárez Madrid–Barajas Airport,large_airport,24754,165,3,40.471926,-3.56264,1998
4586,KMAE,MAE,Madera Municipal Airport,small_airport,24699,188,4,36.98860168,-120.1119995,255
4587,KMAF,MAF,Midland International Air and Space Port,medium_airport,26889,188,4,31.942499,-102.202003,2871
4588,AYMD,MAG,Madang Airport,medium_airport,24676,137,6,-5.207079887,145.7890015,20
4589,LEMH,MAH,Menorca Airport,medium_airport,49998,165,3,39.862598,4.21865,302
4590,FWMG,MAI,Mangochi Airport,medium_airport,25462,105,2,-14.483,35.266998,1580
4591,PKMJ,MAJ,Marshall Islands International Airport,medium_airport,49999,110,6,7.06476,171.272003,6
4592,HSSM,MAK,Malakal Airport,medium_airport,25119,164,2,9.55897,31.652201,1291
4593,WAPE,MAL,"Mangole Airport, Falabisahaya",small_airport,50000,77,1,-1.782255,125.482246,10
4594,MMMA,MAM,General Servando Canales International Airport,medium_airport,26129,113,4,25.76989937,-97.52529907,25
4595,EGCC,MAN,Manchester Airport,large_airport,25348,187,3,53.349375,-2.279521,257
4596,SBEG,MAO,Eduardo Gomes International Airport,large_airport,25335,24,5,-3.03861,-60.049702,264
4597,MAP,MAP,Mamai Airport,small_airport,50001,137,6,-10.29083333,149.5191667,90
4599,SVMC,MAR,La Chinita International Airport,medium_airport,25669,193,5,10.55820847,-71.7278595,239
4600,AYMO,MAS,Momote Airport,medium_airport,50002,137,6,-2.06189,147.423996,12
4601,FZAM,MAT,Tshimpi Airport,small_airport,26118,39,2,-5.79961,13.4404,1115
4806,DIMN,MJC,Man Airport,medium_airport,25278,83,2,7.27207,-7.58736,1089
4603,MH-MAV,MAV,Maloelap Island Airport,small_airport,50003,110,6,8.70444,171.229996,4
4604,KMAW,MAW,Malden Regional Airport,small_airport,25158,188,4,36.6006012,-89.99220276,294
4605,GOSM,MAX,Ouro Sogui Airport,medium_airport,50004,154,2,15.5936,-13.3228,85
4606,MYAB,MAY,Clarence A. Bain Airport,medium_airport,50005,12,4,24.287701,-77.684601,19
4607,TJMZ,MAZ,Eugenio Maria De Hostos Airport,medium_airport,26273,202,4,18.25569916,-67.14849854,28
4608,HKMO,MBA,Moi International Airport,large_airport,27452,88,2,-4.03483,39.5942,200
4610,FOGG,MBC,M'Bigou Airport,small_airport,50006,61,2,-1.893056,11.9125,2346
4611,FAMM,MBD,Mmabatho International Airport,medium_airport,50007,163,2,-25.79840088,25.54800034,4181
4612,RJEB,MBE,Monbetsu Airport,medium_airport,50008,85,1,44.30390167,143.404007,80
4614,KMBG,MBG,Mobridge Municipal Airport,medium_airport,50009,188,4,45.54650116,-100.4079971,1716
4615,YMYB,MBH,Maryborough Airport,small_airport,26003,9,6,-25.513528,152.713603,38
4616,HTGW,MBI,Songwe Airport,medium_airport,26339,174,2,-8.919942,33.273981,4412
4617,MKJS,MBJ,Sangster International Airport,medium_airport,27619,84,4,18.5037,-77.913399,4
4618,SWXM,MBK,Regional Orlando Villas Boas Airport,small_airport,50010,24,5,-10.1702776,-54.95277786,886
4619,KMBL,MBL,Manistee County Blacker Airport,small_airport,50011,188,4,44.272707,-86.246495,621
4620,ZA-0096,MBM,Mkambati Airport,small_airport,50012,163,2,-31.2849,29.9884,560
4621,YBAN,MBN,Mount Barnett Airport,small_airport,48317,9,6,-16.741453,125.905608,1339
4622,RPUM,MBO,Mamburao Airport,medium_airport,25260,140,1,13.208048,120.605457,13
